"차종","엔진","트림","외장칼라","내장칼라","생산번호","출고센터","생산일","옵션","판매가격(만원)","기본조건","생산월조건","판촉차조건","페스타조건","슈퍼세이브조건","조건 계"
"그랜저","가솔린","프리미엄","세레니티 화이트 펄","블랙/브라운 투톤","GNF 100719","시흥출고","2024-12-19 00:00:00","현대스마트센스1,파노라마선루프,파킹어시스트","4589","","","","","250","250"
"그랜저","가솔린","프리미엄","세레니티 화이트 펄","블랙원톤","GNF 101901","칠곡출고","2024-12-27 00:00:00","무옵션","4243","","","","","250","250"
"그랜저","가솔린","캘리그래피","바이오필릭블루펄","인디고/브라운투톤(캘리그래피)","GNF 102476","아산출고","2024-12-31 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","250","250"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 104045","아산출고","2025-01-16 00:00:00","2열컴포트패키지","4604","","","","","200","200"
"그랜저","가솔린","캘리그래피","유기브론즈메탈릭","블랙모노톤(캘리그래피)","GNF 104103","남양출고","2025-01-16 00:00:00","빌트인캠2증강현실내비,파노라마선루프,프리뷰전자제어서스펜션2,2열VIP패키지","5627","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 104428","영남출고","2025-01-20 00:00:00","2열컴포트패키지,현대스마트센스2","4693","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙/브라운 투톤","GNF 105513","담양출고","2025-02-05 00:00:00","2열컴포트패키지,현대스마트센스2","4693","","","","","200","200"
"그랜저","가솔린","캘리그래피","바이오필릭블루펄","블랙모노톤(캘리그래피)","GNF 105500","함안출고","2025-02-06 00:00:00","무옵션","4968","","","","","200","200"
"그랜저","가솔린","프리미엄","어비스블랙펄","인디고/브라운투톤","GNF 107605","아산출고","2025-02-20 00:00:00","파킹어시스트,프리미엄초이스,현대스마트센스1","4124","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 108563","칠곡출고","2025-02-28 00:00:00","플래티넘,파노라마선루프,헤드업디스플레이,2열컴포트패키지","4951","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 108580","칠곡출고","2025-02-28 00:00:00","플래티넘,파노라마선루프,헤드업디스플레이,2열컴포트패키지","4951","","","","","200","200"
"그랜저","가솔린","캘리그래피","유기브론즈메탈릭","인디고/브라운투톤(캘리그래피)","GNF 108589","아산출고","2025-02-28 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지,파노라마선루프,빌트인캠2증강현실내비","5740","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 108766","아산출고","2025-03-04 00:00:00","플래티넘,BOSE프리미엄사운드패키지,헤드업디스플레이","4852","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/브라운투톤(캘리그래피)","GNF 108967","아산출고","2025-03-05 00:00:00","파노라마선루프,프리뷰전자제어서스펜션2,빌트인캠2증강현실내비","5261","","","","","200","200"
"그랜저","가솔린","익스클루시브","유기브론즈메탈릭","블랙/브라운 투톤","GNF 108776","남양출고","2025-03-05 00:00:00","플래티넘,프리뷰전자제어서스펜션1,헤드업디스플레이,2열컴포트패키지","4941","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙원톤","GNF 108495","담양출고","2025-03-05 00:00:00","플래티넘,파노라마선루프,헤드업디스플레이,2열컴포트패키지","4951","","","","","200","200"
"그랜저","가솔린","익스클루시브","큐레이티드 실버 메탈릭","인디고/브라운투톤","GNF 109172","아산출고","2025-03-06 00:00:00","현대스마트센스2,파노라마선루프,BOSE프리미엄사운드패키지,헤드업디스플레이","4684","","","","","200","200"
"그랜저","가솔린","프리미엄","큐레이티드 실버 메탈릭","인디고/브라운투톤","GNF 109173","아산출고","2025-03-06 00:00:00","플래티넘,현대스마트센스1","3981","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/그레이투톤(캘리그래피)","GNF 109166","아산출고","2025-03-06 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/브라운투톤(캘리그래피)","GNF 109143","아산출고","2025-03-06 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","200","200"
"그랜저","가솔린","익스클루시브","세레니티 화이트 펄","인디고/브라운투톤","GNF 109063","칠곡출고","2025-03-06 00:00:00","무옵션","4268","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/브라운투톤(캘리그래피)","GNF 109170","아산출고","2025-03-06 00:00:00","2열VIP패키지","4869","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/그레이투톤(캘리그래피)","GNF 109187","아산출고","2025-03-06 00:00:00","파노라마선루프,빌트인캠2증강현실내비,프리뷰전자제어서스펜션2,2열VIP패키지","5162","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","브라운베이지투톤(캘리그래피)","GNF 109198","남양출고","2025-03-07 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","200","200"
"그랜저","가솔린","익스클루시브","큐레이티드 실버 메탈릭","인디고/브라운투톤","GNF 109189","칠곡출고","2025-03-07 00:00:00","현대스마트센스2","4347","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","블랙모노톤(캘리그래피)","GNF 109171","남양출고","2025-03-07 00:00:00","무옵션","4721","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/그레이투톤(캘리그래피)","GNF 109176","아산출고","2025-03-07 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","200","200"
"그랜저","가솔린","익스클루시브","큐레이티드 실버 메탈릭","인디고/브라운투톤","GNF 109190","아산출고","2025-03-07 00:00:00","플래티넘,헤드업디스플레이","4486","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/그레이투톤(캘리그래피)","GNF 109186","남양출고","2025-03-07 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지","5463","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","브라운베이지투톤(캘리그래피)","GNF 109194","남양출고","2025-03-07 00:00:00","무옵션","4721","","","","","200","200"
"그랜저","가솔린","익스클루시브","큐레이티드 실버 메탈릭","인디고/브라운투톤","GNF 109184","칠곡출고","2025-03-07 00:00:00","현대스마트센스2","4347","","","","","200","200"
"그랜저","가솔린","익스클루시브","세레니티 화이트 펄","인디고/브라운투톤","GNF 109236","담양출고","2025-03-07 00:00:00","무옵션","4268","","","","","200","200"
"그랜저","가솔린","익스클루시브","큐레이티드 실버 메탈릭","라이트그레이","GNF 109197","아산출고","2025-03-07 00:00:00","현대스마트센스2","4347","","","","","200","200"
"그랜저","가솔린","프리미엄","큐레이티드 실버 메탈릭","라이트그레이","GNF 109325","아산출고","2025-03-07 00:00:00","파킹어시스트","3911","","","","","200","200"
"그랜저","가솔린","프리미엄","큐레이티드 실버 메탈릭","라이트그레이","GNF 109329","아산출고","2025-03-08 00:00:00","플래티넘,헤드업디스플레이","3996","","","","","200","200"
"그랜저","가솔린","캘리그래피","큐레이티드 실버 메탈릭","인디고/그레이투톤(캘리그래피)","GNF 109179","아산출고","2025-03-09 00:00:00","프리뷰전자제어서스펜션2,2열VIP패키지,파노라마선루프,빌트인캠2증강현실내비","5627","","","","","200","200"
"그랜저","가솔린","익스클루시브","세레니티 화이트 펄","블랙원톤","GNF 109384","칠곡출고","2025-03-10 00:00:00","무옵션","4268","","","","","200","200"
"그랜저","가솔린","익스클루시브","세레니티 화이트 펄","인디고/브라운투톤","GNF 109076","칠곡출고","2025-03-10 00:00:00","무옵션","4268","","","","","200","200"
"그랜저","가솔린","익스클루시브","세레니티 화이트 펄","블랙원톤","GNF 108696","시흥출고","2025-03-10 00:00:00","2열컴포트패키지","4367","","","","","200","200"
"그랜저","가솔린","익스클루시브","어비스블랙펄","블랙/브라운 투톤","GNF 109468","신갈출고","2025-03-10 00:00:00","현대스마트센스2","4347","","","","","200","200"
